IDcode,statementnum,comp,calc,context,clarity,score
AAA001,1,0,0,1,0,1
AAA001,2,0,1,0,0,1
AAA001,3,0,1,0,0,1
AAA002,1,0,1,0,0,1
AAA002,2,1,1,0,0,2
AAA002,3,0,1,0,0,1
AAA002,4,1,0,0,0,1
AAA002,5,1,0,1,0,2
AAA002,6,0,1,0,0,1
AAA002,7,1,1,0,0,2
AAA003,1,1,1,1,0,3
AAA003,2,0,1,0,0,1
AAA004,1,0,0,0,0,0
AAA005,1,0,1,1,0,2
AAA005,2,1,1,1,0,3
AAA005,3,1,1,1,0,3
AAA005,4,1,0,1,0,2
AAA005,5,1,0,1,0,2
AAA005,6,1,1,1,1,4
AAA005,7,1,1,1,1,4
AAA006,1,1,1,0,0,2
AAA006,2,0,0,0,0,0
AAA006,3,1,1,1,0,3
AAA006,4,1,1,0,0,2
AAA006,5,1,0,0,0,1
AAA006,6,0,1,0,0,1
AAA006,7,1,0,0,0,1
AAA006,8,1,0,1,0,2
AAA006,9,1,0,1,0,2
AAA006,10,0,1,0,0,1
AAA006,11,1,0,1,0,2
AAA007,1,1,1,0,0,2
AAA007,2,1,1,0,0,2
AAA007,3,1,0,0,0,1
AAA007,4,1,0,0,0,1
AAA007,5,1,0,1,0,2
AAA007,6,1,1,1,0,3
AAA007,7,1,0,0,0,1
AAA007,8,1,0,0,0,1
AAA007,9,1,1,0,0,2
AAA007,10,0,0,1,,1
AAA007,11,1,1,0,1,3
AAA007,12,1,0,0,0,1
AAA007,13,1,1,1,1,4
AAA007,14,1,0,0,0,1
AAA008,1,0,1,0,0,1
AAA008,2,0,0,0,0,0
AAA008,3,1,1,0,0,2
AAA008,4,1,1,0,0,2
AAA008,5,0,0,0,0,0
AAA008,6,0,1,0,0,1
AAA008,7,0,0,0,0,0
AAA008,8,0,0,1,0,1
AAA008,9,1,0,1,0,2
AAA009,1,1,0,0,0,1
AAA009,2,0,1,0,0,1
AAA009,3,1,0,0,0,1
AAA010,1,0,0,0,0,0
AAA010,2,0,0,0,0,0
AAA011,1,0,0,0,0,0
AAA011,2,1,1,1,0,3
AAA011,3,0,1,0,0,1
AAA012,1,1,0,1,1,3
AAA012,2,0,0,0,0,0
AAA012,3,0,0,0,0,0
AAA012,4,1,0,1,0,2
AAA012,5,0,1,0,0,1
AAA012,6,1,0,0,0,1
AAA012,7,0,1,0,0,1
AAA012,8,1,0,0,0,1
AAA012,9,1,1,0,0,2
AAA012,10,0,1,0,0,1
AAA013,1,0,1,0,0,1
AAA013,2,0,1,1,0,2
AAA013,3,1,1,0,0,2
AAA013,4,0,1,0,0,1
AAA013,5,1,1,0,0,2
AAA014,1,1,0,0,0,1
AAA014,2,1,0,0,0,1
AAA014,3,1,0,0,0,1
AAA014,4,0,0,0,0,0
AAA014,5,1,1,0,0,2
AAA014,6,0,0,0,0,0
AAA014,7,1,0,0,0,1
AAA015,1,0,1,1,0,2
AAA015,2,1,1,1,0,3
